,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
I3N110C1EQ00.A,83,116,90,94,98,121,162,142,164,170,167,205,219,237,265,311,381,569,685,751,438,376,529,415,686,621,638,646,692,615,374,238,213,286,448,583,713,590,561,637,873,648,479,824,906,981,"1,839","2,434","2,585","2,715","2,698","2,499","2,557","2,336","2,520","2,149","2,295","2,680","2,845","2,432","2,502","2,735","3,216","3,365","4,011","4,506","4,676","4,379","4,637","5,045","5,278","6,042","7,961","8,503","10,015","10,604","11,874","13,252","15,462","13,225","13,967","10,660","10,177","11,184","9,137","8,448","8,193","10,935","12,791","13,639","11,966","10,579","13,317","15,782","17,567","18,492","22,320","22,012","17,267","18,300","19,238","21,533","22,905","25,672","26,209","24,982","26,360","30,006","29,649","30,827","35,917","46,746","52,774","61,585","44,154","35,166","39,459","39,021","43,800","45,455","48,770"
I3N110C1EP1A.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,1,1,1,0,0,0,0,1,1,2,4,4,7,14,6,6,4,4,4,3,3,2,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
I3N110C1EP1B.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11,17,20,26,48,74,99,145,140,141,125,72,62,39,30,27,26,21,14,9,9,7,7,6,6,5,5,3,3,3,3,3,4,5
I3N110C1EP1C.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EP1D.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,13,17,31,38,28,27,21,23,17,12,10,8,8,4,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
I3N110C1EP1E.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,8,15,17,13,15,15,15,10,7,7,4,4,3,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EP1F.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EP1G.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,17,18,32,27,17,21,24,23,17,10,9,8,5,4,3,3,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0
I3N110C1EP1H.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,13,10,15,18,11,10,8,8,7,6,5,4,3,3,3,2,2,2,2,2,2,1,2,2,2,2,2
I3N110C1EP20.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,13,24,31,35,31,41,50,59,63,76,68,54,58,52,56,51,45,35,24,18,18,16,16,16,16,17,18,13,11,12,11,11,13,14
